No,Brand,Nama barang,Isi per Dus,Isi per Kotak,Harga
403,ONDA,"V 633 TG ONDA 1/2""",60,4,217500
404,ONDA,"V 634 T ONDA 1/2""",75,5,91750
405,ONDA,"V 636 T ONDA 1/2""",96,8,89250
406,ONDA,"V 637 T ONDA 1/2""",60,5,85500
407,ONDA,"V 638 CU ONDA 1/2""",60,4,114000
408,ONDA,"V 638 F ONDA 1/2""",60,4,128750
409,ONDA,"V 638 GA ONDA 1/2""",60,4,138250
410,ONDA,"V 638 S ONDA 1/2""",60,4,120500
411,ONDA,"V 638 SU ONDA 1/2""",60,4,119000
412,ONDA,"V 639 CA ONDA 1/2""",45,3,172750
413,ONDA,"V 639 CB ONDA 1/2""",45,3,164750
414,ONDA,"V 639 CS ONDA 1/2""",45,3,148250
415,ONDA,"V 639 SU ONDA 1/2""",45,3,148250
416,ONDA,"V 639 TG ONDA 1/2""",45,3,164750
417,ONDA,"V 640 GBU ONDA 1/2""",12,1,375250
418,ONDA,"V 640 GWU ONDA 1/2""",12,1,375250
419,ONDA,"V 648 GKT ONDA 1/2""",24,2,411500
420,ONDA,"V 688 CA ONDA 1/2""",30,2,263500
421,ONDA,"V 689 GWC ONDA 1/2""",30,2,319250
422,ONDA,"V 697 GKU ONDA 1/2""",12,1,341000
